이름,주차가능대수,위도,경도
좌1-3(주거지),45,35.13567909,129.0515129
좌1-2(주거지),29,35.13463713,129.0515092
좌천1동공영,52,35.13327668,129.0505487
좌1-5(주거지),63,35.1313898,129.0491543
좌4-2(주거지),60,35.13422946,129.0481373
좌4-3(주거지),14,35.13651503,129.0496163
좌4-1(주거지),5,35.13794827,129.0482085
성북공영주차장,47,35.13729921,129.0479509
좌4-4(주거지),12,35.13628009,129.0481623
좌천4동공영,49,35.13472964,129.0464824
초1-1(주거지),27,35.11736262,129.0357646
초량1동업무지,6,35.11276595,129.0368785
구봉성당복개도로,47,35.12220161,129.0378198
초1-2(주거지),18,35.1150454,129.0361588
초량3동-업무지5구간,5,35.12179798,129.0429517
조선생명뒤,22,35.12613367,129.0470526
금복주앞,9,35.12553427,129.0466866
명진빌딩1.2,11,35.12524118,129.0465389
명진빌딩뒤,14,35.12524118,129.0465389
초량3동-업무지7구간,4,35.12379588,129.0452479
수정변전소,11,35.12281518,129.0448716
초량3동-업무지6구간,3,35.12032181,129.0441278
진로창고옆,16,35.11991224,129.0431941
초량3동-업무지8구간,4,35.12017112,129.0428057
제1지하도옆,20,35.11900702,129.0434347
모정장앞,11,35.11837406,129.0431338
금성빌딩앞,13,35.11845666,129.0429384
왕자빌딩앞,14,35.11725625,129.0425136
동구공영주차빌딩,152,35.11352832,129.0401986
부산일보별관,37,35.11286526,129.0401886
초량3동-업무지2구간,2,35.11870094,129.0412774
흥국생명앞,14,35.11870094,129.0412774
차이나타운,69,35.1152382,129.0379841
초량3동-업무지3구간,1,35.12079148,129.0417156
초량3동-업무지4구간,12,35.1223519,129.0393854
초3-1(주거지),6,35.12196319,129.0382789
초6-4(주거지),8,35.12395517,129.0364332
초6-7(주거지),10,35.12462373,129.0348309
초량6동제2공영주차장,42,35.12202711,129.0361922
초4-3(주거지),3,35.11950875,129.0350414
스카이웨이,53,35.12239082,129.0332091
초4-1(주거지),24,35.12106205,129.0329128
초4-2(주거지),12,35.11936157,129.0328574
초6-5(주거지),22,35.11948297,129.0297016
초량2동공영,46,35.11859783,129.0336895
초2-1(주거지),12,35.11755261,129.033896
초2-4(주거지),6,35.11785109,129.0339385
초2-3(주거지),3,35.1191079,129.0352991
초1-4(주거지),5,35.11981545,129.0386685
초1-3(주거지),3,35.11981545,129.0386685
초6-8(주거지),3,35.12119652,129.0382116
사적공원공영주차장,242,35.21150529,129.0890876
명장동공영주차장,148,35.21045213,129.097864
동래시장공영주차장,36,35.20441206,129.0861259
금강공원공영주차장,190,35.22284239,129.0773246
부산울산지역본부주차장,10,35.216082,129.077704
가야공원,39,35.147089,129.0297506
가야공원진입로,41,35.15072727,129.0297645
가야중복도로,160,35.15130998,129.0241527
주례초등학교,69,35.14579543,129.0194537
범천동신암로,93,35.14867928,129.0533226
신부산빌딩 앞(소망빌딩),28,35.1422231,129.0618871
유원오피스텔 뒤,12,35.15973252,129.0551543
부산중부지사주차장,10,35.159023,129.06255
경남공고 뒤,27,35.15371912,129.0634983
구포대교하부,21,35.2035131,128.9945859
행복마을,31,35.1989123,128.9950349
구포축산물도매시장 고객주차장,44,35.1960798,128.9897953
낙동,46,35.19749154,128.9888091
경혜길,65,35.20481802,129.0100649
시랑공원,28,35.2018789,129.0058004
포천초교,89,35.19664218,129.0091011
구포3동,81,35.1959376,129.0134907
구포시장 고객전용,79,35.2075065,129.0043653
모분재,78,35.1983433,129.0093037
구포2동,52,35.20167701,128.999408
덕천3동 공영주차장,126,35.2105292,129.0181311
숙등공원,42,35.2113864,129.0145533
덕천,112,35.21522394,129.0096765
대리천,179,35.2100763,129.0031779
만덕1동,50,35.214018,129.0305246
삼성,31,35.2110894,129.0380066
신만덕사거리,18,35.2092225,129.0381256
만덕동심공원,32,35.20899751,129.0387629
만덕3동,15,35.2111572,129.0280167
동원,63,35.21048421,129.0308587
대천천마을공동주차장,73,35.2432227,129.0265206
화명,37,35.238036,129.017135
해표사료주변,103,35.15725882,128.9754935
감전시장주변,111,35.15465512,128.9861379
감전중천주변,189,35.15409387,128.9770409
공영주차장(감전중고차시장),108,35.15130434,128.9886787
위생처리장주변,247,35.13710101,128.9686434
한국강관주변,333,35.14764235,128.9730052
파라곤호텔주변,33,35.16190916,128.9804382
공영주차장(사상초등학교),31,35.1676053,128.9851336
덕포백양공원공영주차장,50,35.17490755,128.9895784
모라1동주민자치센터,176,35.19091357,128.9912597
모라중학교 지하(노외),136,35.19067059,128.9924437
감전역 역세권 공영주차장,215,35.19067059,128.9924437
고동바위공영주차장,41,35.18821145,128.990298
삼락재첩거리주변,136,35.19343902,128.9858334
엄궁초등학교지하주차장,93,35.12918509,128.9743982
엄궁외식1번가주변,102,35.12658641,128.9670652
동신운수옆복개공영주차장,91,35.14963302,128.9977998
학장천공영주차장,90,35.14567213,128.9946989
양지2공원주변,74,35.15408297,129.0044592
동서고가도로밑주변,90,35.15248721,129.0028664
공영주차장(주례역),22,35.15000861,129.0040872
주례오거리공영주차장,93,35.15084198,129.000557
학장지구대주변,212,35.14614847,128.9845727
공영주차장(사상전화국),271,35.14712995,128.9915395
학장동주민센터주변,127,35.14410084,128.9873097
공영주차장(신일금속),389,35.14700812,128.9789585
동영공업주변,414,35.14084027,128.9752151
감정초교 지하 공영주차장,79,35.0968702,129.0110047
감천2동 공영주차장,40,35.0956873,129.0087013
감천1동 공영주차장,104,35.09568499,129.0087013
감내 공영주차장,50,35.0922441,129.0081723
감천문화마을 공영주차장,27,35.09152897,129.0073239
사릿골 공영주차장,27,35.10413092,128.9984253
동주마루 공영주차장,48,35.10013235,129.0022161
회화나무 공영주차장,62,35.09688031,128.9923092
중앙 공영주차장,156,35.04791208,128.9656704
다대2동 공영주차장,66,35.05940439,128.9800291
통일아시아드공원 일원 노상공영,100,35.06040408,128.9842655
삼환아파트 후문 노상공영,70,35.06165504,128.9821216
몰운대 공영주차장,230,35.04638172,128.9680068
사하구청 앞 공영주차장,29,35.1037084,128.974997
괴정천복개로(당리동) 공영주차장,89,35.10064726,128.9769034
동성화학 앞 공영주차장,47,35.08420847,128.9584164
대한제강 앞 복합 공영주차장,168,35.08705444,128.9649849
신평장림산업단지 공영주차장,140,35.08867803,128.973341
신평패션칼라 공영주차장,94,35.0925135,128.9568185
에코팩토리 존 노상공영주차장,42,35.09252873,128.9568033
도시철도 신평역 앞 공영주차장,49,35.0939343,128.9603282
신평골목시장 공영주차장,18,35.09255799,128.9774986
신평골목시장 공영주차장,15,35.09255799,128.9774986
장림포구,98,35.07930684,128.9516015
장림동 복합 공영주차장,236,35.08166819,128.9608026
장림 노외 공영주차장,53,35.0821458,128.9671343
장림골목시장 공영주차장,144,35.08215766,128.967143
장림2동 공영주차장,83,35.0724128,128.9729318
장림 동원로얄듀크 앞 공영주차장,60,35.0789969,128.9645579
을숙도 공영주차장,340,35.10942117,128.946943
하단동 광장 공영주차장,42,35.10642006,128.957482
하단동 유수지 공영주차장,28,35.10326838,128.9567581
하단동 유수지 공영주차장,18,35.10326838,128.9567581
부산남부지사주차장,10,35.112495,128.964791
하단1동 공영주차장,60,35.10311987,128.9708172
하단5일상설시장 공영주차장,37,35.1038046,128.9714373
괴정천복개로(하단동) 공영주차장,131,35.1029161,128.9681246
천해로공영,54,35.084245,129.016352
해돋이공영,102,35.091305,129.0211395
남부민2동공영,149,35.08386817,129.020265
충무동새벽시장공영,68,35.092783,129.0249253
남부민2동제2공영,23,35.08663694,129.0256069
남부민1동제1공영,14,35.09097518,129.0250696
남부민2동제3공영,14,35.085162,129.025385
망양공영,101,35.11160047,129.0251193
동대1제5공영,15,35.107906,129.021028
동대1제4공영,15,35.112089,129.024286
동대2제1공영,12,35.11182795,129.0207776
북산리공영,99,35.11450349,129.0241822
부민동제2공영,30,35.10334257,129.0177433
부민동공영,64,35.10249017,129.0167617
부민동제4공영,20,35.10541463,129.0210272
고운들공영,81,35.10674959,129.0125065
